Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context
,,,中學學程,STP101,0,,教育心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP101&Crsname=教育心理學,2,期,選,50,2,31,19,馮雅群,社SS 2006,,78,,,,,,《講授類》本課程為教育學程課程
新增,8/11,,中學學程,STP103,0,,教育哲學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP103&Crsname=教育哲學,2,期,選,50,0,22,28,張至慶,社SS 2006,,,,34,,,,《講授類》本課程為教育學程課程
,,,中學學程,STP104,0,,教學原理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP104&Crsname=教學原理,2,期,選,50,0,25,25,陳威霖,社SS 2005,,,,67,,,,《講授類》本課程為教育學程課程
異動,更換時間8/16,,中學學程,STP105,0,,輔導原理與實務,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP105&Crsname=輔導原理與實務,2,期,選,50,0,34,16,鄭雯,社SS 2006,89,,,,,,,《講授類》本課程為教育學程課程。
,,,中學學程,STP117,0,,班級經營,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP117&Crsname=班級經營,2,期,選,50,0,44,6,陳利銘,社SS 2006,12,,,,,,,《講授類》本課程為教育學程課程
,,,中學學程,STP118,0,,課程發展與設計,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP118&Crsname=課程發展與設計,2,期,選,50,0,40,10,周珮儀,社SS 2006,67,,,,,,,《講授類》本課程為教育學程課程環境教育學程
異動,更換教室9/7,,中學學程,STP120,0,,青少年心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP120&Crsname=青少年心理學,2,期,選,50,0,52,-2,邱文彬,社SS 2001,34,,,,,,,《講授類》本課程為教育學程課程
異動,更換時間8/4,,中學學程,STP123,0,,教學媒體與運用,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP123&Crsname=教學媒體與運用,2,期,選,50,0,14,36,張宇慧,社SS 3006,,,56,,,,,《講授類》本課程為教育學程課程
,,,中學學程,STP133,0,,比較教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP133&Crsname=比較教育,2,期,選,50,0,7,43,林靜慧,社SS 2004-3,56,,,,,,,《講授類》本課程為教育學程課程
新增,8/11,,中學學程,STP143,0,,創意思考與教學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP143&Crsname=創意思考與教學,2,期,選,50,0,4,46,張至慶,社SS 2006,,,,67,,,,《講授類》本課程為教育學程課程
